year,tech_type,capexusm,capex_year_share,value,value_bn
2016,green,108961.37317111845,12.342551507739818,0.10896137317111845,108.96137317111845
2016,digital,79210.56030985957,8.972541297235725,0.07921056030985957,79.21056030985957
2016,both,633.1000010967255,0.07171412350700518,0.0006331000010967255,0.6331000010967255
2016,neither,694005.7297769686,78.61319307151746,0.6940057297769686,694.0057297769686
2017,green,82731.53923936798,10.85933468664747,0.08273153923936798,82.73153923936798
2017,digital,72296.13168040395,9.489583992822146,0.07229613168040395,72.29613168040395
2017,both,318.52259858140945,0.04180924874670097,0.00031852259858140944,0.31852259858140947
2017,neither,606501.0248116412,79.60927207178369,0.6065010248116411,606.5010248116412
2018,green,145266.6795088321,12.74298760425044,0.1452666795088321,145.2666795088321
2018,digital,105832.68356549743,9.283784687304685,0.10583268356549742,105.83268356549743
2018,both,2638.099995493889,0.23141766339684153,0.002638099995493889,2.638099995493889
2018,neither,886236.0189759273,77.74181004504804,0.8862360189759273,886.2360189759272
2019,green,177851.64631516175,17.9564171844898,0.17785164631516176,177.85164631516176
2019,digital,77966.25242452796,7.871698597409694,0.07796625242452797,77.96625242452797
2019,both,5899.789990606308,0.5956598803953426,0.005899789990606308,5.899789990606307
2019,neither,728745.18862357,73.57622433770516,0.7287451886235701,728.74518862357
2020,green,155150.66301305607,22.774966164049594,0.15515066301305608,155.15066301305606
2020,digital,90198.75357858588,13.240507780613683,0.09019875357858588,90.19875357858588
2020,both,273.0000031590461,0.04007437489461126,0.0002730000031590461,0.2730000031590461
2020,neither,435610.924853417,63.944451680442114,0.43561092485341696,435.610924853417
2021,green,240860.2773511149,25.944704482665763,0.2408602773511149,240.8602773511149
2021,digital,177168.28593519217,19.08400535298027,0.17716828593519215,177.16828593519216
2021,both,3662.7600113964068,0.39454088125986864,0.003662760011396407,3.662760011396407
2021,neither,506668.7492251462,54.576749283094095,0.5066687492251462,506.6687492251462
2022,green,527520.9300169208,39.807674465219094,0.5275209300169208,527.5209300169208
2022,digital,161502.25445484393,12.187249462369557,0.16150225445484392,161.50225445484392
2022,both,10761.83999616146,0.8121077266076032,0.01076183999616146,10.76183999616146
2022,neither,625388.9202643348,47.19296834580375,0.6253889202643348,625.3889202643347
2023,green,598456.2178700333,42.008965156523494,0.5984562178700333,598.4562178700334
2023,digital,153387.57032947935,10.767125321796325,0.15338757032947936,153.38757032947936
2023,both,2002.3700026631352,0.14055746963700405,0.002002370002663135,2.002370002663135
2023,neither,670745.5108384984,47.08335205204317,0.6707455108384983,670.7455108384984
2024,green,392276.06226961885,28.453839934477298,0.39227606226961886,392.2760622696189
2024,digital,266971.30789765157,19.36482898820553,0.26697130789765156,266.97130789765157
2024,both,11590.921369969845,0.8407503110081496,0.011590921369969845,11.590921369969845
2024,neither,707801.8609797526,51.34058076630903,0.7078018609797526,707.8018609797526
2025,green,269380.26180774724,20.297859959826784,0.26938026180774727,269.3802618077472
2025,digital,506656.61694096035,38.17668373092156,0.5066566169409603,506.65661694096036
2025,both,1658.5799813270567,0.12497435397540513,0.0016585799813270566,1.6585799813270568
2025,neither,549440.8124872297,41.40048195527626,0.5494408124872298,549.4408124872297
