region,region_short,emde,emde_label,inflow_capex_2016_2020,inflow_capex_2021_2025,outflow_capex_2016_2020,outflow_capex_2021_2025,outflow_log_growth,inflow_log_growth,n_projects_total_stock,top3_outflow_2016_2020,top3_outflow_2021_2025,top3_inflow_2016_2020,top3_inflow_2021_2025,hover_group
East Asia & Pacific,EAP,0.0,AE,63699.79995899901,156724.24717265504,52067.58519782109,205839.40073100163,1.3745536666099198,0.9003064514440009,4925.0,"Japan, Singapore, Hong Kong SAR, China","Singapore, Korea, Rep., Japan","Korea, Rep., Australia, Singapore","Korea, Rep., Japan, Australia",East Asia & Pacific (AE)
East Asia & Pacific,EAP,1.0,EMDE,43122.16355296891,145199.22494935963,32756.801957981093,204067.51753850427,1.8293402735228348,1.2140696640584956,3055.0,"China, Taiwan, China, Vietnam","Taiwan, China, China, Malaysia","China, Malaysia, Indonesia","Malaysia, Indonesia, Thailand",East Asia & Pacific (EMDE)
Europe & Central Asia,ECA,0.0,AE,159460.3539445561,416164.32671313477,97403.87514869083,221732.98229806824,0.8226078797299046,0.9592848716836091,15833.0,"United Kingdom, Germany, France","United Kingdom, Germany, Sweden","United Kingdom, Germany, France","France, United Kingdom, Spain",Europe & Central Asia (AE)
Europe & Central Asia,ECA,1.0,EMDE,13499.81408929711,26562.089877286548,3183.5061325170104,6656.010011818334,0.7375370608798466,0.6768090924651382,1562.0,"Russian Federation, Poland, Romania","Russian Federation, Poland, Türkiye","Poland, Romania, Armenia","Poland, Türkiye, Romania",Europe & Central Asia (EMDE)
Latin America & Caribbean,LAC,1.0,EMDE,25534.84918924241,79408.73598986439,4745.02599328893,14762.750010827778,1.1350102068299623,1.1345642332208996,2015.0,"Colombia, Argentina, Bahamas, The","Argentina, Mexico, Brazil","Brazil, Mexico, Argentina","Brazil, Mexico, Chile",Latin America & Caribbean (EMDE)
"Middle East, North Africa, Afghanistan & Pakistan",MENAAP,1.0,EMDE,18492.13568173158,56697.22039929003,4650.3632013315255,88797.566852324,2.949413924948823,1.1203796431722228,2346.0,"United Arab Emirates, Saudi Arabia, Kuwait","United Arab Emirates, Kuwait, Saudi Arabia","United Arab Emirates, Saudi Arabia, Qatar","United Arab Emirates, Saudi Arabia, Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan (EMDE)"
North America,NAR,0.0,AE,62554.595198800576,282853.5794704586,227977.2447799634,523632.1772554985,0.8315436656579607,1.5088896780983792,10764.0,"United States, Canada","United States, Canada","United States, Canada","United States, Canada",North America (AE)
South Asia,SAR,1.0,EMDE,35602.224763367165,105193.3022976613,7099.967964904992,13358.142193963598,0.6320358290491992,1.0833915026464123,2397.0,"India, Sri Lanka","India, Sri Lanka, Bangladesh","India, Bangladesh, Nepal","India, Bangladesh, Sri Lanka",South Asia (EMDE)
Sub-Saharan Africa,SSA,1.0,EMDE,9047.586765308808,21245.780020192262,3352.1000090241414,10997.54000658631,1.1880845942207916,0.8536602219784086,828.0,"Mauritius, Nigeria, South Africa","Mauritius, South Africa, Nigeria","South Africa, Nigeria, Kenya","Nigeria, South Africa, Ghana",Sub-Saharan Africa (EMDE)
